Generation,TotalOrganisms,AverageFitness,FitnessVariance,SelectedGenes,NeutralGenes,NeutralDiversity,SelectedDiversity
0,5,0.925333,0.001612,15,35,14.979832,15.133333
1,7,0.916667,0.001844,21,49,0.000000,0.000000
2,9,0.926957,0.001405,27,63,0.000000,0.000000
3,14,0.936388,0.001754,42,98,0.000000,0.000000
4,25,0.934600,0.001760,75,175,0.000000,0.000000
5,34,0.936281,0.002032,102,238,0.000000,0.000000
6,50,0.937486,0.002126,150,350,0.000000,0.000000
7,71,0.939579,0.001994,213,497,0.000000,0.000000
8,104,0.946953,0.001723,312,728,0.000000,0.000000
9,149,0.946650,0.001777,447,1043,0.000000,0.000000
10,203,0.946028,0.001674,609,1421,0.000000,0.000000
11,279,0.946502,0.001689,837,1953,0.000000,0.000000
12,394,0.947769,0.001610,1182,2758,0.000000,0.000000
13,545,0.949340,0.001575,1635,3815,0.000000,0.000000
14,790,0.950225,0.001579,2370,5530,0.000000,0.000000
15,1000,0.952143,0.001483,3000,7000,0.000000,0.000000
16,1000,0.952600,0.001470,3000,7000,0.000000,0.000000
17,1000,0.954461,0.001400,3000,7000,0.000000,0.000000
18,1000,0.955640,0.001366,3000,7000,0.000000,0.000000
19,1000,0.958295,0.001188,3000,7000,0.000000,0.000000
20,1000,0.959361,0.001149,3000,7000,0.000000,0.000000
21,1000,0.961729,0.001041,3000,7000,0.000000,0.000000
22,1000,0.962215,0.001074,3000,7000,0.000000,0.000000
23,1000,0.964964,0.000974,3000,7000,0.000000,0.000000
24,1000,0.965780,0.000952,3000,7000,0.000000,0.000000
25,1000,0.966857,0.000934,3000,7000,0.000000,0.000000
26,1000,0.967277,0.000930,3000,7000,0.000000,0.000000
27,1000,0.967618,0.000896,3000,7000,0.000000,0.000000
28,1000,0.968250,0.000952,3000,7000,0.000000,0.000000
29,1000,0.968786,0.000982,3000,7000,0.000000,0.000000
30,1000,0.969941,0.000950,3000,7000,0.000000,0.000000
31,1000,0.971089,0.000906,3000,7000,0.000000,0.000000
32,1000,0.971493,0.000922,3000,7000,0.000000,0.000000
33,1000,0.973199,0.000894,3000,7000,0.000000,0.000000
34,1000,0.974261,0.000883,3000,7000,0.000000,0.000000
35,1000,0.975764,0.000868,3000,7000,0.000000,0.000000
36,1000,0.976514,0.000885,3000,7000,0.000000,0.000000
37,1000,0.976690,0.000866,3000,7000,0.000000,0.000000
38,1000,0.976555,0.000872,3000,7000,0.000000,0.000000
39,1000,0.977470,0.000842,3000,7000,0.000000,0.000000
40,1000,0.977623,0.000861,3000,7000,0.000000,0.000000
41,1000,0.977971,0.000893,3000,7000,0.000000,0.000000
42,1000,0.978405,0.000890,3000,7000,0.000000,0.000000
43,1000,0.978776,0.000882,3000,7000,0.000000,0.000000
44,1000,0.979784,0.000889,3000,7000,0.000000,0.000000
45,1000,0.980031,0.000888,3000,7000,0.000000,0.000000
46,1000,0.981235,0.000839,3000,7000,0.000000,0.000000
47,1000,0.981732,0.000811,3000,7000,0.000000,0.000000
48,1000,0.983451,0.000792,3000,7000,0.000000,0.000000
49,1000,0.983499,0.000828,3000,7000,0.000000,0.000000
50,1000,0.983223,0.000804,3000,7000,0.000000,0.000000
51,1000,0.983822,0.000836,3000,7000,0.000000,0.000000
52,1000,0.984221,0.000816,3000,7000,0.000000,0.000000
53,1000,0.984354,0.000795,3000,7000,0.000000,0.000000
54,1000,0.985498,0.000825,3000,7000,0.000000,0.000000
55,1000,0.986928,0.000906,3000,7000,0.000000,0.000000
56,1000,0.987320,0.000888,3000,7000,0.000000,0.000000
57,1000,0.987541,0.000912,3000,7000,0.000000,0.000000
58,1000,0.988071,0.000905,3000,7000,0.000000,0.000000
59,1000,0.987846,0.000923,3000,7000,0.000000,0.000000
60,1000,0.987475,0.000900,3000,7000,0.000000,0.000000
61,1000,0.988657,0.000887,3000,7000,0.000000,0.000000
62,1000,0.989444,0.000895,3000,7000,0.000000,0.000000
63,1000,0.989849,0.000862,3000,7000,0.000000,0.000000
64,1000,0.990461,0.000797,3000,7000,0.000000,0.000000
65,1000,0.990353,0.000796,3000,7000,0.000000,0.000000
66,1000,0.990730,0.000766,3000,7000,0.000000,0.000000
67,1000,0.991098,0.000858,3000,7000,0.000000,0.000000
68,1000,0.991031,0.000834,3000,7000,0.000000,0.000000
69,1000,0.992536,0.000850,3000,7000,0.000000,0.000000
70,1000,0.993329,0.000828,3000,7000,0.000000,0.000000
71,1000,0.993034,0.000867,3000,7000,0.000000,0.000000
72,1000,0.993054,0.000844,3000,7000,0.000000,0.000000
